标题	内容摘要	【打标5】误判原因/补充说明
广汽与华为乾崑联合打造：启境 GT7 车型 6 月 26 日上市，预售 21.99 万起	IT之家 6 月 22 日消息，据易车今日报道，启境 GT7 将于 6 月 26 日迎来正式上市。新车在 2026 第三十届粤港澳大湾区车展上正式开启预售，预售价区间 21.99-30.99 万元。“启境”品牌由广汽集团与华为乾崑联合打造，定位为高端智能新能源汽车品牌。根据双方的规划，启境汽车将全系搭载华为乾崑最先进的智能技术。	
氮化铝紧缺：1.6T时代的必选品，日本垄断75%份额诱发供应危机？	传统的氧化铝陶瓷基板导热率通常在&nbsp;20–30 W/(m·K) 之间，在过去100G、400G光模块以及常规功率器件时代能够勉强支撑。然而，伴随芯片集成度跃升，热流密度呈指数级上升。氮化铝具有极高的导热率（理论极限可达 320 W/(m·K)，电子级量产通常在 170–230 W/(m·K)），加之其优异的绝缘性、低介电损耗，以及与单晶硅极其接近的热膨胀系数，使其成为当前高密度集成封装（高。【产业链影响】氮化铝陶瓷基板是AI芯片、大功率光模块、IGBT等高密度封装中不可替代的散热基材，日本垄断75%产能	
电RAM vs DRAM：AI算力时代，电容正在复刻存储器的价值重估之路	当前市场对AI硬件的认知存在一个巨大的预期差：资金紧盯GPU的出货量，却忽视了算力狂飙背后隐藏的“能量墙”。6月20日，国金证券在最新研报中指出，电容正在成为AI算力系统的“电RAM”——正如HBM是数据的缓冲，电容则是能量的缓冲。两者在系统角色、层级结构、量价驱动上高度同构。更关键的是，市场对电容需求的测算长期停留在"白区"（PSU内部），而真正的系统级增量大量发生在被忽视的"灰区"（从电网接入	
SpaceX上市仅用74天，为OpenAI和Anthropic IPO提速树立参照，八月窗口初现	SpaceX创纪录的IPO速度正在重塑硅谷对上市时间表的预期。6月21日，据科技媒体The Information报道，马斯克旗下的太空公司SpaceX从秘密递交招股书到正式挂牌仅历时74天，较近年大型科技IPO的平均周期压缩逾三分之一，为同样已秘密申报的OpenAI和Anthropic提供了一个清晰的时间参照。本月早些时候，OpenAI和Anthropic相继宣布已秘密递交IPO申请文件。据Th	
小米 YU7 GT 第一视角：见证全球首个纽北自动驾驶圈速纪录诞生	IT之家 6 月 22 日消息，小米汽车今日官宣，小米 YU7 GT 达成全球首个纽北自动驾驶圈速纪录，时间为 10 分 29 秒 483。官方现已公布小米 YU7 GT 第一视角，感受全球首个纽北自动驾驶圈速纪录的诞生。IT之家注意到，小米 YU7 GT 于 5 月 21 日正式发布，搭载新一代超级电机 V8s EVO，定位为“跑车级 SUV”，官方指导价 38.99 万元、大满配 42.99 	
豆包 App 灰测打车功能，由曹操出行提供服务	IT之家 6 月 22 日消息，据《读佳》今日报道，继布局电商、团购两大本地生活板块后，豆包加码即时出行赛道，获得灰测的豆包用户，可直接在豆包 App 内使用一键打车服务，由曹操出行提供打车服务。用户无需切换打车软件，只需在豆包 App 对话框口述出行需求，系统即可自动识别起止地点、出行人数、用车偏好，自动匹配曹操出行运力，用户核对路线、车型、价格一键确认后，曹操出行即刻完成派单。多位在岗曹操出行	
企业和个人信贷同步激增！法兴大空头：美国经济悬于悬崖边缘，成败系于AI一身	美国经济正经历一场深刻的结构性转变，从后金融危机时代的去杠杆化，急速切换至债务驱动增长模式，而这一切的核心引擎是AI。法国兴业银行策略师Albert Edwards在其最新周报中警告，企业信贷与居民借贷的同步激增，正将美国经济推向一个危险的临界点。据瑞银测算，过去一年美国新增信贷规模约达8000亿美元，占GDP的2.6%，美国已主导全球信贷脉冲逾半壁江山，其中相当大比例源于AI相关项目的融资需求。	
铟有望成下一个强管制小金属：供给几乎0弹性资源如何卡住AI光产业的脖子？	铟价中枢已从2020年前的1000元/千克级别系统性上移至4000—6000元/千克区间，且本轮上行的底层驱动力是"资源禀赋的不对称性"（中国占据全球75%储量+69%产量+收紧出口管制）与"需求端的超级增量"（AI光模块+HJT光伏+ITO显示三大引擎共振）的历史性碰撞，2026—2028年将是铟完成从"工业味精"到"战略资源"身份跃迁的关键窗口期。铟是一个值得长期跟踪并重视的小金属品种吗？。【产业链影响】铟是ITO靶材（面板显示）、CIGS薄膜太阳能电池和磷化铟光芯片的核心材料，AI光模块从400G→800G→1.6T迭代驱动磷化铟衬底需求爆发	
英伟达黄仁勋链博会致辞：中国是世界重要科技产业中心之一，工程师表现卓越	IT之家 6 月 22 日消息，第四届中国国际供应链促进博览会（第四届链博会）于今日（6 月 22 日）在北京开幕，据央视财经报道，英伟达 CEO 黄仁勋用视频方式发表致辞。黄仁勋表示：“链博会所关注的是世界上最重要的体系之一：供应链。供应链连接着能源、工厂、物流、企业和客户，进而连接着整个世界。中国是世界上重要的科技与产业中心之一，这里的工程师表现卓越，开发者行动敏捷，企业也以非凡的规模实现发展	
吉利银河战舰 700 全地形硬核 SUV 更多官图发布：830kW 三电机四驱，年内上市	IT之家 6 月 22 日消息，吉利银河今日放出了旗下全新中大型 SUV &nbsp;银河战舰 700 的更多官图，这款被定义为“AI 全地形硬核 SUV”的新车，计划年内正式上市。银河战舰 700 采用硬朗的线条勾勒与方盒子车身造型，塑造出鲜明的硬派越野视觉风格。前脸采用长条矩形格栅轮廓，搭配贯穿式日间行车灯设计，品牌 Logo 具备点亮功能。	
蚂蚁集团新一届董事会完成换届，何小鹏出任独立董事	IT之家 6 月 22 日消息，蚂蚁集团官网信息显示，新一届董事会已完成换届：清华大学经济管理学院院长白重恩、小鹏汽车董事长兼 CEO 何小鹏、德勤中国原首席执行官曾顺福获聘新任独立董事；港交所前主席史美伦、全球知名 AI 学者张宏江继续留任。换届后，蚂蚁集团董事会继续保持 9 人阵型，独立董事占比超过 50%，治理结构持续优化。	
40 款移动应用违法违规收集使用个人信息被通报	IT之家 6 月 22 日消息，国家网络安全通报中心今日发文，根据中央网信办、工业和信息化部、公安部联合发布的《关于开展 2026 年个人信息保护系列专项行动的公告》，依据《网络安全法》《个人信息保护法》《网络数据安全管理条例》《App 违法违规收集使用个人信息行为认定方法》等法律法规和有关规定，经公安部计算机信息系统安全产品质量监督检验中心检测，40 款移动应用存在一项或者多项违法违规收集使用个	
鸿海刘扬伟：1GW 英伟达 Vera Rubin AI 数据中心需 470 亿美元	IT之家 6 月 22 日消息，鸿海 (Hon Hai / Foxconn) 董事长刘扬伟本月 18 日在台湾地区工商协进会会员大会上表示，基于 NVIDIA（英伟达）Vera Rubin 平台打造 1GW 规模的 AI 数据中心需要 470 亿美元（IT之家注：现汇率约合 3190.83 亿元人民币）的资本支出。刘扬伟提到，单一个 Vera Rubin 机架 / 机柜的价格就达到 910 万美元	
第四届链博会今日开幕，首次设立人工智能专区	IT之家 6 月 22 日消息，据央视新闻报道，第四届中国国际供应链促进博览会（第四届链博会）今天在北京开幕。本届链博会共设置数智科技、先进制造、绿色农业、健康生活、智能汽车、清洁能源等六大链条和供应链服务展区。目前，展台搭建等各项准备工作已全面完成。本届链博会共吸引 676 家中外链主企业、专精特新企业和行业机构参展，来自 85 个国家、地区和国际组织，世界 500 强及行业龙头企业占比超过 6	
nova 16 Ultra 体验：年轻人的第一台旗舰华为？	华为 nova 16 Ultra，是一台谁的手机？#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜曝苹果新CEO重建设计团队/微信原生AI助手「小微」灰度上线/马斯克拿下7800亿天价薪酬	· 微博 CEO 回应吐槽「被 WPS 背刺了」登上热搜：自己养的虾发的 · 网易云音乐旗下 AI 陪伴 App「妙时」将于 7 月停运 · 挪威拟禁止小学生使用生成式 AI#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
2026全球职场报告：AI驱动“放大式工作”时代来临	数据显示，80%的员工已使用AI工具，较两年前的53%大幅提升；AI工具使用时长增长8倍，月度留存率达到92%。与此同时，企业平均使用的AI工具数量从2个增加至7个，83%的组织已部署6个以上AI工具。	
工作的速度：AI重塑政府效率	2026年全球餐饮品牌呈现出规模扩张与内在压力并存的特征。前25大品牌总价值达到1901亿美元，创历史新高，较长期趋势持续上行，前十品牌自2015年以来累计增长约20%。	
Cushman Wakefield：2025年亚太地区数据中心工程造价指南	2024年，以Blackstone牵头财团160亿美元收购AirTrunk为代表的大型交易，进一步验证了资本市场对行业长期增长的信心。报告覆盖亚太26个数据中心市场、90个产业集群，成为观察区域产业格局的重要窗口。	
三星电子DS部门：预计2026年全年亏损2-3万亿韩元	三星电子DS事业部系统LSI负责人朴龙仁在经营说明会上表示，尽管2026年第一季度营收创下历史新高，但受市场环境变化与需求萎缩影响，全年营业亏损仍难以避免，预计亏损规模将维持在2万亿至3万亿韩元区间。目前，SoC业务短期内难以实现盈利，公司正就改善方案进行研讨。新一代Exynos 2700芯片研发进展顺利，计划搭载于明年年初上市的Galaxy S27旗舰机型。	
皮尤：26年AI使用率49%，40%担忧	根据皮尤研究中心2026年调查，美国成年人聊天机器人使用率从33%升至49%，近一半成年人使用过，其中ChatGPT以44%使用率领先。调查显示，40%受访者认为AI将对社会产生负面影响，仅16%看好，31%担忧个人生活受负面影响。此外，67%对政府监管AI能力缺乏信心，60%对企业责任不信任，约三分之二认为AI发展过快。	
易车榜：2026年5月各省汽车销量第一车型榜单	易车榜基于终端销量数据，发布2026年5月部分省份汽车销量排名。数据显示，河北、山西、内蒙古的销量冠军为吉利星愿；北京和上海由特斯拉Model Y领跑；辽宁和黑龙江的榜首是大众探岳；天津的冠军为缤越，吉林为迈腾，江苏为小米SU7。新款吉利星愿同期上市，续航最高达480公里，采用新宁德时代电芯和AI云动力系统，电池容量有30.12度、40.16度和47.14度可选。	
Counterpoint：2026年全球存储芯片市场预计增长3.2倍	Counterpoint Research数据显示，2026年全球存储芯片市场规模预计达1500万亿韩元，较去年的360万亿韩元增长约3.2倍。增长主要由服务器端存储需求驱动，2026年服务器内存营收占比将首次突破50%，达56%。三大原厂将80%先进制程产能转向服务器及HBM产品，导致市场供需紧张，价格持续上行。【产业链影响】HBM和DDR5是AI算力系统的数据瓶颈，先进封装产能（CoWoS）供不应求决定GPU出货上限	
富士康：预计2030年全球AI基建投资达1.6万亿美元	富士康董事长刘扬伟预测，到2030年全球AI基建投资将达到1.6万亿美元，算力负载预计从2024年的68GW提升至174GW。1GW的算力中心投资高达470亿美元（约合3200亿元），建设完成后每年电费约13亿美元（约90亿元），但折旧成本是电费的6倍。这意味着一个投资3200多亿元的1GW算力中心，约5-6年就会折旧完毕，引发了对AI投资泡沫的担忧，但在大国竞争背景下，AI发展仍被视为必须推进的	
诺奖得主转投Anthropic，谷歌48小时连失两大牛，内部信仰崩塌？	大公司在 AI 时代会成为过去式#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
刚刚，Codex 大更新，你在电脑的操作正在成为 AI 经验包	人类操作软件的经验，正在变成 AI 技能#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
玩了一天AI支付宝，张嘴就能点麦当劳、收能量，超级App开始卷Agent OS了	一个新 App 时代开始了#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
营收涨了 30 倍，ARR 3 亿美金，这家 AI 公司已经在赚钱了	演语科技完成了近 3 亿美元的 B+ 轮融资，投后估值超过 20 亿美元#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜曝第二代iPhone Air明年春季推出/特斯拉「车顶维权」名誉权案再审被驳回/微信支付推出AI专属卡	· 上交所发布指引：大模型企业上市需至少一个产品规模化应用 · 曝字节洽购至少 5 万颗天数智芯推理 GPU · Meta CTO：公司士气接近史上最低点#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
Sensor Tower：2026年全球AI助手市场ChatGPT份额首跌破50%降至46.4%	Sensor Tower报告显示，2026年全球AI助手市场格局变化显著。ChatGPT月活跃用户超11亿，但市场份额首次跌破50%至46.4%。Google的Gemini和Anthropic的Claude分别占27.7%和10.3%。2026年上半年全球AI应用下载量近23亿次，消费超42亿美元。	
OpenAI 2025年营收130亿美元 净亏390亿美元	据独立记者艾德·齐特隆获取并经《金融时报》核实的审计文件显示，OpenAI 2025年实现营收130亿美元，总支出达340亿美元，净亏损为390亿美元。剔除约300亿美元的非现金会计调整后，其实际经营亏损约为80亿美元。尽管收入增长五倍、月均营收突破20亿美元，但成本失衡，仅支付给微软的算力费用就高达172亿美元。	
Sensor Tower：2026年5月底ChatGPT月活份额降至46.4%首次跌破50%	据市场分析机构Sensor Tower最新报告，截至2026年5月底，ChatGPT在全球AI助手应用中的月活跃用户（MAU）市占率已降至46.4%，这是其自2022年底推出以来首次跌破50%的关口。尽管份额下滑，ChatGPT仍以约11亿月活用户位居龙头。谷歌Gemini份额上升至27.7%，Anthropic Claude则占据10.3%。	
KB证券：预计2027年全球iPhone出货量达2.5亿部	据KB证券预测，2027年全球iPhone出货量将达2.5亿部。苹果提前加价锁定头部内存产能，利用高毛利服务业务消化成本压力，导致竞争对手面临供给不足困境。安卓厂商可能被迫缩减内存规格或延迟新机发布。苹果还计划通过Siri AI升级拉动销量，巩固其在消费电子领域的优势。天风证券分析师郭明錤指出苹果财务缓冲空间充裕。	
早报｜曝苹果明年推出带摄像头AirPods/DeepSeek完成500亿融资/曝微信支付「AI专属卡」最快本周上线	· 微信支付「AI 专属卡」最快本周上线 · 李想谈汽车行业「发布会越来越多」 · 7 月起电动车强制一键物理断电#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
