标题	内容摘要	【打标5】
nova 16 Ultra 体验：年轻人的第一台旗舰华为？	华为 nova 16 Ultra，是一台谁的手机？#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜曝苹果新CEO重建设计团队/微信原生AI助手「小微」灰度上线/马斯克拿下7800亿天价薪酬	· 微博 CEO 回应吐槽「被 WPS 背刺了」登上热搜：自己养的虾发的 · 网易云音乐旗下 AI 陪伴 App「妙时」将于 7 月停运 · 挪威拟禁止小学生使用生成式 AI#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
诺奖得主转投Anthropic，谷歌48小时连失两大牛，内部信仰崩塌？	大公司在 AI 时代会成为过去式#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
刚刚，Codex 大更新，你在电脑的操作正在成为 AI 经验包	人类操作软件的经验，正在变成 AI 技能#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜追觅组织调整，取消未落地业务/DeepSeek识图模式上线/《GTA6》预购时间官宣	· Counterpoint：第 20 周全球手机销量同比下降 8%，华为逆势增长 23% · 曹操出行宣布 RoboX 战略，2030 年部署 10 万辆 Robotaxi · ChatGPT 推出定时任务功能#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
玩了一天AI支付宝，张嘴就能点麦当劳、收能量，超级App开始卷Agent OS了	一个新 App 时代开始了#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
营收涨了 30 倍，ARR 3 亿美金，这家 AI 公司已经在赚钱了	演语科技完成了近 3 亿美元的 B+ 轮融资，投后估值超过 20 亿美元#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜曝第二代iPhone Air明年春季推出/特斯拉「车顶维权」名誉权案再审被驳回/微信支付推出AI专属卡	· 上交所发布指引：大模型企业上市需至少一个产品规模化应用 · 曝字节洽购至少 5 万颗天数智芯推理 GPU · Meta CTO：公司士气接近史上最低点#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
早报｜曝苹果明年推出带摄像头AirPods/DeepSeek完成500亿融资/曝微信支付「AI专属卡」最快本周上线	· 微信支付「AI 专属卡」最快本周上线 · 李想谈汽车行业「发布会越来越多」 · 7 月起电动车强制一键物理断电#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
从网点到智能体：AI代理将重塑零售银行吗？	报告显示，BCG测算人工智能每年可为全球银行业创造超过3700亿美元新增利润空间，相当于在现有业务基础上额外提升30%的利润潜力。尽管市场对AI热情高涨，但2025年仅有5%的企业真正实现AI规模化价值释放，60%的企业仍未获得实质收益，行业整体仍处于试点探索阶段。	
洛图科技：2026年5月电视出货降23.1%，均价涨14.4%	洛图科技：2026年5月中国电视出货217.5万台，同比降23.1%；零售198万台降22.7%；均价涨540元（14.4%）。75英寸以上占比46.2%，升6.8个百分点；Mini LED渗透率34.1%，百寸近九成。三星退出，外资月销不足10万台。	
Counterpoint：2026年Q1长江存储NAND市占率13%，同比提升5%	据Counterpoint Research最新报告，2026年第一季度长江存储全球NAND闪存市占率从去年同期的8%跃升至13%，连续三个季度两位数增长，营收达26亿美元，同比增长近445%。三星、SK海力士份额分别为29%和18%。长江存储自研Xtacking架构实现294层3D NAND量产，良率超90%，技术差距大幅缩小。武汉第三工厂计划2026年底投产，并规划再建两座工厂。韩国厂商...	
Omdia：2026Q1中国PC出货量降2%，华为出货大增38%	Omdia报告显示，2026年第一季度中国大陆PC出货量同比下滑2%，平板下滑5%。笔记本出货量降19%至530万台，台式机逆势增长41%至360万台。联想PC出货量增5%份额31%居首，华为增38%份额16%跃居第二；平板市场华为增11%份额31%领跑，苹果增3%份额26%，小米降42%。全年预计PC出货降14%至3600万台，平板降11%至3200万台。	
2025年全球数据中心分支行业及汇总电力消耗量（附原数据表） ​​​	2025年全球数据中心分支行业及汇总电力消耗量（附原数据表） ​​​	
2026全球职场报告：AI驱动“放大式工作”时代来临	数据显示，80%的员工已使用AI工具，较两年前的53%大幅提升；AI工具使用时长增长8倍，月度留存率达到92%。与此同时，企业平均使用的AI工具数量从2个增加至7个，83%的组织已部署6个以上AI工具。	
工作的速度：AI重塑政府效率	2026年全球餐饮品牌呈现出规模扩张与内在压力并存的特征。前25大品牌总价值达到1901亿美元，创历史新高，较长期趋势持续上行，前十品牌自2015年以来累计增长约20%。	
Cushman Wakefield：2025年亚太地区数据中心工程造价指南	2024年，以Blackstone牵头财团160亿美元收购AirTrunk为代表的大型交易，进一步验证了资本市场对行业长期增长的信心。报告覆盖亚太26个数据中心市场、90个产业集群，成为观察区域产业格局的重要窗口。	
三星电子DS部门：预计2026年全年亏损2-3万亿韩元	三星电子DS事业部系统LSI负责人朴龙仁在经营说明会上表示，尽管2026年第一季度营收创下历史新高，但受市场环境变化与需求萎缩影响，全年营业亏损仍难以避免，预计亏损规模将维持在2万亿至3万亿韩元区间。目前，SoC业务短期内难以实现盈利，公司正就改善方案进行研讨。新一代Exynos 2700芯片研发进展顺利，计划搭载于明年年初上市的Galaxy S27旗舰机型。同时，公司员工数量由78699人...	
皮尤：26年AI使用率49%，40%担忧	根据皮尤研究中心2026年调查，美国成年人聊天机器人使用率从33%升至49%，近一半成年人使用过，其中ChatGPT以44%使用率领先。调查显示，40%受访者认为AI将对社会产生负面影响，仅16%看好，31%担忧个人生活受负面影响。此外，67%对政府监管AI能力缺乏信心，60%对企业责任不信任，约三分之二认为AI发展过快。ChatGPT已突破10亿月活用户。	
M3 MacBook Air plunges to $799 in early Amazon Prime Day sale — 38% discount blows the MacBook Neo out of the water	The M3 MacBook Air from 2024 is now just $799 at Amazon.	
Best Amazon Prime Day tech deals live — PC hardware deals on SSDs, RAM, GPUs, CPUs, and more	Find the very best PC hardware deals during Amazon Prime Day.	
